"mdbf1_pre","mdbf2_pre","mdbf3_pre","mdbf4_pre","mdbf5_pre","mdbf6_pre","mdbf7_pre","mdbf8_pre","mdbf9_pre","mdbf10_pre","mdbf11_pre","mdbf12_pre","lz","extra","vertr","gewis","neuro","offen","prok","nerd","grund","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4","attent_pre","gs_post","wm_post","ru_post","attent_post"
2,2,4,2,2,1,2,2,4,2,3,1,5,4.5,3.5,3.5,3,5,3.2,2.83333333333333,"interesse an Forensik + klinischer Psychologie",4,3,5,5,3,2,1,2,1,1,0,1,0,0,6,1,1.25,1.75,6
2,3,4,2,3,2,3,3,3,2,1,1,3.6,4,4,3.5,5,3,3.5,3,"Interesse, Berufswunsch",4,2,4,5,3,2,1,2,2,3,0,1,0,0,6,3.5,3,2.75,6
3,3,2,2,1,1,2,3,3,3,2,2,5.8,4,5,3.5,2.5,2,2.5,2,"Interesse",4,2,3,5,3,2,1,1,2,1,0,1,1,0,5,2.75,2.25,2.25,5
3,3,2,2,2,2,3,3,2,2,3,1,3.8,3,4,2.5,4,2.5,2.7,2.33333333333333,"Da mich mehrere Menschen schon als Psychologen nennen und ich habe Erfahrungen gesammelt ",2,1,2,4,2,2,1,1,1,3,1,1,0,0,6,NA,NA,NA,NA
3,4,1,1,3,4,4,3,2,3,2,4,3.6,3,4,2.5,4.5,3.5,2,2.5,NA,2,3,4,4,3,2,1,1,2,NA,0,1,1,0,6,3.75,2.25,4,6
3,2,3,2,2,2,3,3,3,2,1,2,4,3,3.5,3.5,4,2,2.4,3.33333333333333,"Interessiere mich dafür",4,2,5,5,1,2,1,1,1,4,0,1,0,0,6,3,2.5,2,6
2,2,3,1,3,2,2,3,3,2,1,2,5.6,2.5,5,2,4,3,2.8,2.83333333333333,"Interesse an Studieninhalten",1,2,2,5,1,2,2,1,2,4,0,1,0,0,6,3.25,2.5,2.75,5
2,4,1,1,2,4,1,3,1,4,1,3,5.2,5,3,2.5,2.5,5,3.3,3.5,"Vielfalt",1,1,4,4,1,1,1,2,1,2,0,1,0,0,3,NA,NA,NA,NA
2,2,3,2,2,2,4,2,3,2,2,2,5.8,1,3.5,3.5,5,4,3,4.16666666666667,"Interesse am menschlichen Verhalten und dessen Ursachen",4,2,4,5,3,2,1,2,1,2,0,1,0,0,6,NA,NA,NA,NA
2,3,2,1,1,2,1,3,2,3,1,3,6,3.5,4,2,3,4,3.6,2.16666666666667,"Die Bandbreite an Themen und Inhalten",3,2,3,5,3,2,2,1,2,1,0,1,0,1,6,3.25,3,2.75,6
3,2,4,2,3,2,3,3,3,2,2,2,6,2.5,4,4,3,3.5,2.1,3.66666666666667,"Interesse",1,1,4,4,3,1,1,1,1,3,1,1,0,1,5,3,2.25,2.75,5
